"SS","YEAR","NEAR.DIST.harvest","MEANAGE.565.harvest"
"CL:C-040-1:2-3",1996,615.4781288,102.5066681
"CL:C-040-1:2-3",1997,615.4781288,102.5066681
"CL:C-040-1:2-3",1998,615.4781288,102.5066681
"CL:C-040-1:2-3",1999,615.4781288,102.5066681
"CL:C-040-1:2-4",2000,415.4792872,6
"CL:C-040-1:2-4",2001,415.4792872,7
"CL:C-040-1:2-4",2002,415.4792872,8
"CL:C-040-1:2-4",2003,415.4792872,9
"CL:C-040-1:2-4",2005,415.4792872,11
"CL:C-040-1:2-4",2006,415.4792872,12
"CL:C-040-1:2-4",2007,415.4792872,13
"CL:C-040-1:2-4",2008,415.4792872,14
"CL:C-040-1:2-4",2009,415.4792872,15
"CL:C-040-1:2-4",2010,415.4792872,16
"CL:C-040-1:2-4",2011,415.4792872,17
"CL:C-040-1:2-4",2012,415.4792872,18
"CL:C-040-1:2-4",2014,415.4792872,20
"CL:C-040-1:2-4",1993,1000,102.5066681
"CL:C-040-1:2-4",1994,1000,102.5066681
"CL:C-040-1:2-4",1995,415.4792872,1
"CL:C-040-1:2-4",1996,415.4792872,2
"CL:C-040-1:2-4",1997,415.4792872,3
"CL:C-040-1:2-4",1998,415.4792872,4
"CL:C-040-1:2-4",1999,415.4792872,5
"CL:C-040-2:1-1",2000,109.9699955,6
"CL:C-040-2:1-1",2001,109.9699955,7
"CL:C-040-2:1-1",2002,109.9699955,8
"CL:C-040-2:1-1",2003,109.9699955,9
"CL:C-040-2:1-1",2005,109.9699955,9.348418446
"CL:C-040-2:1-1",2006,109.9699955,10.34841845
"CL:C-040-2:1-1",2007,109.9699955,11.34841845
"CL:C-040-2:1-1",2008,109.9699955,12.34841845
"CL:C-040-2:1-1",2009,109.9699955,13.34841845
"CL:C-040-2:1-1",2010,109.9699955,14.34841845
"CL:C-040-2:1-1",2011,109.9699955,15.34841845
"CL:C-040-2:1-1",2012,109.9699955,16.34841845
"CL:C-040-2:1-1",2014,109.9699955,18.34841845
"CL:C-040-2:1-1",1993,1000,102.5066681
"CL:C-040-2:1-1",1994,1000,102.5066681
"CL:C-040-2:1-1",1995,109.9699955,1
"CL:C-040-2:1-1",1996,109.9699955,2
"CL:C-040-2:1-1",1997,109.9699955,3
"CL:C-040-2:1-1",1998,109.9699955,4
"CL:C-040-2:1-1",1999,109.9699955,5
"CL:C-040-2:1-2",2000,309.6158847,6
"CL:C-040-2:1-2",2001,309.6158847,7
"CL:C-040-2:1-2",2002,309.6158847,8
"CL:C-040-2:1-2",2003,309.6158847,9
"CL:C-040-2:1-2",2005,309.6158847,9.884018611
"CL:C-040-2:1-2",2006,309.6158847,10.88401861
"CL:C-040-2:1-2",2007,309.6158847,11.88401861
"CL:C-040-2:1-2",2008,309.6158847,12.88401861
"CL:C-040-2:1-2",2009,309.6158847,13.88401861
"CL:C-040-2:1-2",2010,309.6158847,14.88401861
"CL:C-040-2:1-2",2011,309.6158847,15.88401861
"CL:C-040-2:1-2",2012,309.6158847,16.88401861
"CL:C-040-2:1-2",2014,309.6158847,18.88401861
"CL:C-040-2:1-2",1993,1000,102.5066681
"CL:C-040-2:1-2",1994,1000,102.5066681
"CL:C-040-2:1-2",1995,309.6158847,1
"CL:C-040-2:1-2",1996,309.6158847,2
"CL:C-040-2:1-2",1997,309.6158847,3
"CL:C-040-2:1-2",1998,309.6158847,4
"CL:C-040-2:1-2",1999,309.6158847,5
"CL:C-040-2:1-3",2000,508.292416,6
"CL:C-040-2:1-3",2001,508.292416,7
"CL:C-040-2:1-3",2002,508.292416,8
"CL:C-040-2:1-3",2003,508.292416,9
"CL:C-040-2:1-3",2005,508.292416,11
"CL:C-040-2:1-3",2006,508.292416,12
"CL:C-040-2:1-3",2007,508.292416,13
"CL:C-040-2:1-3",2008,508.292416,14
"CL:C-040-2:1-3",2009,508.292416,15
"CL:C-040-2:1-3",2010,508.292416,16
"CL:C-040-2:1-3",2011,508.292416,17
"CL:C-040-2:1-3",2012,508.292416,18
"CL:C-040-2:1-3",2014,508.292416,20
"CL:C-040-2:1-3",1993,1000,102.5066681
"CL:C-040-2:1-3",1994,1000,102.5066681
"CL:C-040-2:1-3",1995,508.292416,1
"CL:C-040-2:1-3",1996,508.292416,2
"CL:C-040-2:1-3",1997,508.292416,3
"CL:C-040-2:1-3",1998,508.292416,4
"CL:C-040-2:1-3",1999,508.292416,5
"CL:C-040-2:1-4",2000,708.1860245,102.5066681
"CL:C-040-2:1-4",2001,708.1860245,102.5066681
"CL:C-040-2:1-4",2002,708.1860245,102.5066681
"CL:C-040-2:1-4",2003,708.1860245,102.5066681
"CL:C-040-2:1-4",2005,708.1860245,102.5066681
"CL:C-040-2:1-4",2006,708.1860245,102.5066681
"CL:C-040-2:1-4",2007,708.1860245,102.5066681
"CL:C-040-2:1-4",2008,580.0995387,102.5066681
"CL:C-040-2:1-4",2009,580.0995387,102.5066681
"CL:C-040-2:1-4",2010,580.0995387,102.5066681
"CL:C-040-2:1-4",2011,580.0995387,102.5066681
"CL:C-040-2:1-4",2012,580.0995387,102.5066681
"CL:C-040-2:1-4",2014,580.0995387,102.5066681
"CL:C-040-2:1-4",1993,1000,102.5066681
"CL:C-040-2:1-4",1994,1000,102.5066681
"CL:C-040-2:1-4",1995,708.1860245,102.5066681
"CL:C-040-2:1-4",1996,708.1860245,102.5066681
"CL:C-040-2:1-4",1997,708.1860245,102.5066681
"CL:C-040-2:1-4",1998,708.1860245,102.5066681
"CL:C-040-2:1-4",1999,708.1860245,102.5066681
"CL:C-040-2:2-1",2000,185.4194083,6
"CL:C-040-2:2-1",2001,185.4194083,7
"CL:C-040-2:2-1",2002,185.4194083,8
"CL:C-040-2:2-1",2003,185.4194083,9
"CL:C-040-2:2-1",2005,153.3549055,7.809948372
"CL:C-040-2:2-1",2006,153.3549055,8.809948372
"CL:C-040-2:2-1",2007,153.3549055,9.809948372
"CL:C-040-2:2-1",2008,153.3549055,10.80994837
"CL:C-040-2:2-1",2009,153.3549055,11.80994837
"CL:C-040-2:2-1",2010,153.3549055,12.80994837
"CL:C-040-2:2-1",2011,153.3549055,13.80994837
"CL:C-040-2:2-1",2012,153.3549055,14.80994837
"CL:C-040-2:2-1",2014,153.3549055,16.80994837
"CL:C-040-2:2-1",1993,1000,102.5066681
"CL:C-040-2:2-1",1994,1000,102.5066681
"CL:C-040-2:2-1",1995,185.4194083,1
"CL:C-040-2:2-1",1996,185.4194083,2
"CL:C-040-2:2-1",1997,185.4194083,3
"CL:C-040-2:2-1",1998,185.4194083,4
"CL:C-040-2:2-1",1999,185.4194083,5
"CL:C-040-2:2-2",2000,367.0630139,6
"CL:C-040-2:2-2",2001,367.0630139,7
"CL:C-040-2:2-2",2002,367.0630139,8
"CL:C-040-2:2-2",2003,367.0630139,9
"CL:C-040-2:2-2",2005,339.7162982,7.47342742
"CL:C-040-2:2-2",2006,339.7162982,8.47342742
"CL:C-040-2:2-2",2007,339.7162982,9.47342742
"CL:C-040-2:2-2",2008,339.7162982,8.778916565
"CL:C-040-2:2-2",2009,339.7162982,9.778916565
"CL:C-040-2:2-2",2010,339.7162982,10.77891657
"CL:C-040-2:2-2",2011,339.7162982,11.77891657
"CL:C-040-2:2-2",2012,339.7162982,12.77891657
"CL:C-040-2:2-2",2014,339.7162982,14.77891657
"CL:C-040-2:2-2",1993,1000,102.5066681
"CL:C-040-2:2-2",1994,1000,102.5066681
"CL:C-040-2:2-2",1995,367.0630139,1
"CL:C-040-2:2-2",1996,367.0630139,2
"CL:C-040-2:2-2",1997,367.0630139,3
"CL:C-040-2:2-2",1998,367.0630139,4
"CL:C-040-2:2-2",1999,367.0630139,5
"CL:C-040-2:2-3",2000,548.3698482,6
"CL:C-040-2:2-3",2001,548.3698482,7
"CL:C-040-2:2-3",2002,548.3698482,8
"CL:C-040-2:2-3",2003,548.3698482,9
"CL:C-040-2:2-3",2005,536.3003728,5.941250026
"CL:C-040-2:2-3",2006,536.3003728,6.941250026
"CL:C-040-2:2-3",2007,536.3003728,7.941250026
"CL:C-040-2:2-3",2008,389.8395822,1.4162576
"CL:C-040-2:2-3",2009,389.8395822,2.4162576
"CL:C-040-2:2-3",2010,389.8395822,3.4162576
"CL:C-040-2:2-3",2011,389.8395822,4.4162576
"CL:C-040-2:2-3",2012,389.8395822,5.4162576
"CL:C-040-2:2-3",2014,389.8395822,7.4162576
"CL:C-040-2:2-3",1993,1000,102.5066681
"CL:C-040-2:2-3",1994,1000,102.5066681
"CL:C-040-2:2-3",1995,548.3698482,1
"CL:C-040-2:2-3",1996,548.3698482,2
"CL:C-040-2:2-3",1997,548.3698482,3
"CL:C-040-2:2-3",1998,548.3698482,4
"CL:C-040-2:2-3",1999,548.3698482,5
"CL:C-040-2:2-4",2000,738.5903015,102.5066681
"CL:C-040-2:2-4",2001,738.5903015,102.5066681
"CL:C-040-2:2-4",2002,738.5903015,102.5066681
"CL:C-040-2:2-4",2003,738.5903015,102.5066681
"CL:C-040-2:2-4",2005,734.6665787,102.5066681
"CL:C-040-2:2-4",2006,734.6665787,102.5066681
"CL:C-040-2:2-4",2007,734.6665787,102.5066681
"CL:C-040-2:2-4",2008,382.6048374,1
"CL:C-040-2:2-4",2009,382.6048374,2
"CL:C-040-2:2-4",2010,382.6048374,3
"CL:C-040-2:2-4",2011,382.6048374,4
"CL:C-040-2:2-4",2012,382.6048374,5
"CL:C-040-2:2-4",2014,382.6048374,7
"CL:C-040-2:2-4",1993,1000,102.5066681
"CL:C-040-2:2-4",1994,1000,102.5066681
"CL:C-040-2:2-4",1995,738.5903015,102.5066681
"CL:C-040-2:2-4",1996,738.5903015,102.5066681
"CL:C-040-2:2-4",1997,738.5903015,102.5066681
"CL:C-040-2:2-4",1998,738.5903015,102.5066681
"CL:C-040-2:2-4",1999,738.5903015,102.5066681
"CL:C-040-3:1-1",2000,912.7795373,102.5066681
"CL:C-040-3:1-1",2001,912.7795373,102.5066681
"CL:C-040-3:1-1",2002,912.7795373,102.5066681
"CL:C-040-3:1-1",2003,912.7795373,102.5066681
"CL:C-040-3:1-1",2005,132.1765296,1
"CL:C-040-3:1-1",2006,132.1765296,2
"CL:C-040-3:1-1",2007,132.1765296,3
"CL:C-040-3:1-1",2008,132.1765296,4
"CL:C-040-3:1-1",2009,132.1765296,5
"CL:C-040-3:1-1",2010,132.1765296,6
"CL:C-040-3:1-1",2011,132.1765296,7
"CL:C-040-3:1-1",2012,132.1765296,8
"CL:C-040-3:1-1",2014,132.1765296,10
"CL:C-040-3:1-1",1993,912.7795373,102.5066681
"CL:C-040-3:1-1",1994,912.7795373,102.5066681
"CL:C-040-3:1-1",1995,912.7795373,102.5066681
"CL:C-040-3:1-1",1996,912.7795373,102.5066681
"CL:C-040-3:1-1",1997,912.7795373,102.5066681
"CL:C-040-3:1-1",1998,912.7795373,102.5066681
"CL:C-040-3:1-1",1999,912.7795373,102.5066681
"CL:C-040-3:1-2",2000,1000,102.5066681
"CL:C-040-3:1-2",2001,1000,102.5066681
"CL:C-040-3:1-2",2002,1000,102.5066681
"CL:C-040-3:1-2",2003,1000,102.5066681
"CL:C-040-3:1-2",2005,313.6957007,1
